Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
02/07/2021,25.1,32.4,28,71,,8.8,4,110,2
03/07/2021,,33.3,28.3,66,,9.9,5,80,2
04/07/2021,24.2,33.6,28.2,70,0,7.7,5,90,2
05/07/2021,24.4,33.6,28.6,67,,8.3,5,110,2
06/07/2021,22.5,33.6,28.7,48,,9.2,5,150,3
07/07/2021,23,33,27.2,62,,10.7,7,150,2
08/07/2021,23.3,33.1,27.5,68,,10.7,4,40,2
09/07/2021,,33.2,28.2,75,,8.3,5,360,3
10/07/2021,25.4,33.6,29.6,68,0,8.6,8,120,4
11/07/2021,26.9,33,29.6,66,0,9.4,6,150,3
12/07/2021,24.8,33.1,28.8,62,0,10.6,6,110,2
13/07/2021,23,35.2,28,59,,10.3,5,130,2
14/07/2021,23,33.5,28.6,60,0,9.8,4,10,2
15/07/2021,24.2,33.7,28.5,60,,4.7,6,150,2
16/07/2021,23.2,32.3,26.9,64,0,10,5,130,2
17/07/2021,,,27.2,66,,4.7,5,110,1
18/07/2021,23,34.4,28.4,71,0,8.4,5,40,2
19/07/2021,24.4,33.2,28.3,76,11,9.4,6,70,3
20/07/2021,24.2,34.2,29.7,64,0,10.8,7,130,3
21/07/2021,26.5,34.2,29.3,62,,10.7,7,310,2
22/07/2021,26,32.2,28.6,72,0,8.8,5,90,2
23/07/2021,25.8,34.2,29,70,0,4,4,10,2
24/07/2021,,34.6,28,74,7.2,6.9,4,130,2
25/07/2021,22.3,35.4,28.3,58,0,10.6,6,150,2
26/07/2021,22,33.8,27.2,66,0,11.2,4,140,2
27/07/2021,21.4,34.2,26.7,64,,10.9,7,130,2
28/07/2021,21.2,34.6,27.6,54,,11,5,110,2
29/07/2021,22.2,34.4,28,69,0,10.8,5,130,2
30/07/2021,23.5,33,28.1,70,0,10.7,6,30,2
31/07/2021,24.8,32.4,28.2,74,0,10.8,5,320,2
01/08/2021,24.4,34,28.2,75,1.5,8.3,5,140,2
02/08/2021,24.4,32.8,27.5,76,,9,5,320,2
